District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Baksa,'1.4.4',Number of PW having severe anaemia (Hb<7) treated,TOTAL,9,9,0,NA,9,10,10,0,NA,10,18,18,0,NA,18,15,15,0,NA,15,11,11,0,NA,11,10,10,0,NA,10,19,19,0,NA,19,16,16,0,NA,16,17,15,2,NA,17,17,17,0,NA,17,15,15,0,NA,15,4,4,0,NA,4,161,159,2,NA,161
Baksa,'1.5.1',Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,0,0,0,NA,0,0,0,0,NA,0,34,34,0,NA,34,34,34,0,NA,34,33,33,0,NA,33,45,45,0,NA,45,36,36,0,NA,36,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,182,182,0,NA,182
Baksa,'1.5.2',Number of PW tested positive for GDM,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'1.5.3',Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'1.6.1.a',Number of PW tested using POC test for Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Baksa,'1.6.1.b',"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Baksa,'1.6.2.a',Number of pregnant women tested for Syphilis,TOTAL,548,540,8,NA,548,537,537,0,NA,537,665,665,0,NA,665,783,777,6,NA,783,698,668,30,NA,698,652,652,0,NA,652,654,654,0,NA,654,639,639,0,NA,639,530,530,0,NA,530,465,465,0,NA,465,535,535,0,NA,535,530,530,0,NA,530,7236,7192,44,NA,7236
Baksa,'1.6.2.b',Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,3,3,0,NA,3
Baksa,'1.6.2.c',Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1
Baksa,'1.6.2.d',Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'1.6.2.e',Number of babies treated for congenital Syphilis,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'2.1.1.a',Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,18,18,0,NA,18,14,14,0,NA,14,16,16,0,NA,16,21,21,0,NA,21,32,32,0,NA,32,26,26,0,NA,26,34,34,0,NA,34,21,21,0,NA,21,25,25,0,NA,25,20,20,0,NA,20,12,12,0,NA,12,21,21,0,NA,21,260,260,0,NA,260
Baksa,'2.1.1.b',Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,15,15,0,NA,15,12,12,0,NA,12,4,4,0,NA,4,8,8,0,NA,8,1,1,0,NA,1,5,5,0,NA,5,6,6,0,NA,6,11,11,0,NA,11,6,6,0,NA,6,4,4,0,NA,4,11,11,0,NA,11,4,4,0,NA,4,87,87,0,NA,87
Baksa,'2.1.2',Number of PW given Tablet Misoprostol during home delivery,TOTAL,6,6,0,NA,6,8,8,0,NA,8,2,2,0,NA,2,4,4,0,NA,4,5,5,0,NA,5,9,9,0,NA,9,9,9,0,NA,9,4,4,0,NA,4,2,2,0,NA,2,4,4,0,NA,4,5,5,0,NA,5,3,3,0,NA,3,61,61,0,NA,61
Baksa,'2.1.3',Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,71,71,0,NA,71,25,25,0,NA,25,25,25,0,NA,25,21,21,0,NA,21,24,24,0,NA,24,16,16,0,NA,16,32,32,0,NA,32,34,34,0,NA,34,31,31,0,NA,31,15,15,0,NA,15,17,17,0,NA,17,29,29,0,NA,29,340,340,0,NA,340
Baksa,'2.2',Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,553,545,8,NA,553,512,498,14,NA,512,439,436,3,NA,439,605,594,11,NA,605,718,698,20,NA,718,667,658,9,NA,667,808,784,24,NA,808,768,746,22,NA,768,860,851,9,NA,860,807,805,2,NA,807,646,644,2,NA,646,597,593,4,NA,597,7980,7852,128,NA,7980
Baksa,'2.2.1',Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,124,124,0,NA,124,118,118,0,NA,118,122,122,0,NA,122,151,151,0,NA,151,156,156,0,NA,156,237,237,0,NA,237,200,200,0,NA,200,235,235,0,NA,235,213,213,0,NA,213,225,225,0,NA,225,188,188,0,NA,188,232,232,0,NA,232,2201,2201,0,NA,2201
Baksa,'2.2.2',Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,955,953,2,NA,955,996,996,0,NA,996,898,898,0,NA,898,870,870,0,NA,870,1030,1030,0,NA,1030,1177,1177,0,NA,1177,1232,1228,4,NA,1232,1296,1296,0,NA,1296,1280,1280,0,NA,1280,1371,1371,0,NA,1371,1433,1433,0,NA,1433,1237,1237,0,NA,1237,13775,13769,6,NA,13775
Baksa,'3.1',Total C -Section deliveries performed,TOTAL,15,15,0,NA,15,17,17,0,NA,17,16,16,0,NA,16,17,17,0,NA,17,29,21,8,NA,29,12,12,0,NA,12,19,19,0,NA,19,14,14,0,NA,14,17,17,0,NA,17,16,16,0,NA,16,26,22,4,NA,26,24,24,0,NA,24,222,210,12,NA,222
Baksa,'3.1.1',"C-sections, performed at night (8 PM- 8 AM)",TOTAL,0,0,0,NA,0,2,2,0,NA,2,0,0,0,NA,0,0,0,0,NA,0,5,1,4,NA,5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,7,3,4,NA,7
Baksa,'4.1.1.a',Live Birth - Male,TOTAL,269,266,3,NA,269,271,265,6,NA,271,243,240,3,NA,243,329,322,7,NA,329,403,390,13,NA,403,348,342,6,NA,348,427,417,10,NA,427,413,400,13,NA,413,463,459,4,NA,463,389,388,1,NA,389,367,364,3,NA,367,341,339,2,NA,341,4263,4192,71,NA,4263
Baksa,'4.1.1.b',Live Birth - Female,TOTAL,309,305,4,NA,309,259,251,8,NA,259,208,208,0,NA,208,299,296,3,NA,299,346,331,15,NA,346,336,333,3,NA,336,415,401,14,NA,415,379,370,9,NA,379,407,402,5,NA,407,430,429,1,NA,430,299,296,3,NA,299,272,270,2,NA,272,3959,3892,67,NA,3959
Baksa,'4.1.2',Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,12,11,1,NA,12,10,10,0,NA,10,11,11,0,NA,11,9,9,0,NA,9,6,6,0,NA,6,16,16,0,NA,16,12,12,0,NA,12,28,28,0,NA,28,27,27,0,NA,27,10,10,0,NA,10,8,8,0,NA,8,19,19,0,NA,19,168,167,1,NA,168
Baksa,'4.1.3',Still Birth,TOTAL,9,9,0,NA,9,10,10,0,NA,10,13,13,0,NA,13,7,6,1,NA,7,15,15,0,NA,15,18,18,0,NA,18,14,14,0,NA,14,11,11,0,NA,11,27,27,0,NA,27,13,13,0,NA,13,10,10,0,NA,10,11,11,0,NA,11,158,157,1,NA,158
Baksa,'4.2',Abortion (spontaneous),TOTAL,124,124,0,NA,124,132,132,0,NA,132,148,148,0,NA,148,146,146,0,NA,146,124,124,0,NA,124,123,123,0,NA,123,108,108,0,NA,108,125,125,0,NA,125,119,119,0,NA,119,171,171,0,NA,171,158,158,0,NA,158,135,135,0,NA,135,1613,1613,0,NA,1613
Baksa,'4.3.1.a',MTP up to 12 weeks of pregnancy,TOTAL,255,255,0,NA,255,221,221,0,NA,221,219,211,8,NA,219,265,245,20,NA,265,218,208,10,NA,218,184,174,10,NA,184,166,160,6,NA,166,165,161,4,NA,165,165,162,3,NA,165,197,197,0,NA,197,261,261,0,NA,261,194,194,0,NA,194,2510,2449,61,NA,2510
Baksa,'4.3.1.b',MTP more than 12 weeks of pregnancy,TOTAL,4,4,0,NA,4,4,4,0,NA,4,1,1,0,NA,1,4,4,0,NA,4,6,6,0,NA,6,16,16,0,NA,16,11,11,0,NA,11,5,5,0,NA,5,6,6,0,NA,6,4,4,0,NA,4,4,4,0,NA,4,2,2,0,NA,2,67,67,0,NA,67
Baksa,'4.3.2.a',Post Abortion/ MTP Complications Identified,TOTAL,4,4,0,NA,4,8,8,0,NA,8,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,3,3,0,NA,3,3,3,0,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,11,11,0,NA,11,0,0,0,NA,0,29,29,0,NA,29
Baksa,'4.3.2.b',Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1
Baksa,'4.3.3',Number of women provided with post abortion/ MTP contraception,TOTAL,134,134,0,NA,134,140,140,0,NA,140,105,105,0,NA,105,110,110,0,NA,110,87,87,0,NA,87,77,77,0,NA,77,74,74,0,NA,74,66,66,0,NA,66,82,82,0,NA,82,105,105,0,NA,105,0,0,0,NA,0,81,81,0,NA,81,1061,1061,0,NA,1061
Baksa,'4.4.1',Number of newborns weighed at birth,TOTAL,579,571,8,NA,579,527,513,14,NA,527,451,448,3,NA,451,628,618,10,NA,628,748,720,28,NA,748,683,674,9,NA,683,833,809,24,NA,833,793,771,22,NA,793,872,863,9,NA,872,819,817,2,NA,819,667,661,6,NA,667,613,609,4,NA,613,8213,8074,139,NA,8213
Baksa,'4.4.2',Number of newborns having weight less than 2.5 kg,TOTAL,63,61,2,NA,63,63,60,3,NA,63,45,45,0,NA,45,60,59,1,NA,60,83,77,6,NA,83,92,91,1,NA,92,113,108,5,NA,113,101,99,2,NA,101,116,116,0,NA,116,94,94,0,NA,94,75,75,0,NA,75,66,66,0,NA,66,971,951,20,NA,971
Baksa,'4.4.3',Number of Newborns breast fed within 1 hour of birth ,TOTAL,578,570,8,NA,578,528,514,14,NA,528,447,444,3,NA,447,626,616,10,NA,626,749,721,28,NA,749,684,675,9,NA,684,840,816,24,NA,840,792,770,22,NA,792,870,861,9,NA,870,819,817,2,NA,819,665,659,6,NA,665,613,609,4,NA,613,8211,8072,139,NA,8211
Baksa,'5.1',"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,7,7,0,NA,7,8,8,0,NA,8,18,18,0,NA,18,13,13,0,NA,13,15,15,0,NA,15,7,7,0,NA,7,5,5,0,NA,5,12,12,0,NA,12,11,11,0,NA,11,13,13,0,NA,13,16,16,0,NA,16,13,13,0,NA,13,138,138,0,NA,138
Baksa,'5.2',Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0
Baksa,'6.1',Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,32,32,0,NA,32,25,25,0,NA,25,20,20,0,NA,20,28,28,0,NA,28,33,33,0,NA,33,31,31,0,NA,31,40,40,0,NA,40,30,30,0,NA,30,31,31,0,NA,31,24,24,0,NA,24,23,23,0,NA,23,26,26,0,NA,26,343,343,0,NA,343
Baksa,'6.2',Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,873,872,1,NA,873,961,958,3,NA,961,819,819,0,NA,819,901,901,0,NA,901,1223,1208,15,NA,1223,1175,1175,0,NA,1175,1306,1303,3,NA,1306,1208,1208,0,NA,1208,1430,1430,0,NA,1430,1359,1359,0,NA,1359,1141,1141,0,NA,1141,1022,1022,0,NA,1022,13418,13396,22,NA,13418
Baksa,'6.3',Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,976,975,1,NA,976,1027,1024,3,NA,1027,905,905,0,NA,905,941,941,0,NA,941,1217,1202,15,NA,1217,1184,1184,0,NA,1184,1369,1366,3,NA,1369,1440,1440,0,NA,1440,1442,1442,0,NA,1442,1392,1392,0,NA,1392,1170,1170,0,NA,1170,1132,1132,0,NA,1132,14195,14173,22,NA,14195
Baksa,'6.4',Number of mothers provided 360 Calcium tablets after delivery,TOTAL,954,954,0,NA,954,979,976,3,NA,979,874,874,0,NA,874,946,946,0,NA,946,1229,1214,15,NA,1229,1164,1164,0,NA,1164,1367,1364,3,NA,1367,1423,1423,0,NA,1423,1449,1449,0,NA,1449,1393,1393,0,NA,1393,1170,1170,0,NA,1170,1105,1105,0,NA,1105,14053,14032,21,NA,14053
Baksa,'7.1.1',New RTI/STI cases identified - Male,TOTAL,7,7,0,NA,7,7,7,0,NA,7,6,6,0,NA,6,4,4,0,NA,4,2,2,0,NA,2,2,2,0,NA,2,12,12,0,NA,12,11,11,0,NA,11,1,1,0,NA,1,3,3,0,NA,3,0,0,0,NA,0,1,1,0,NA,1,56,56,0,NA,56
Baksa,'7.1.2',New RTI/STI cases identified - Female,TOTAL,32,32,0,NA,32,31,31,0,NA,31,32,32,0,NA,32,26,26,0,NA,26,12,12,0,NA,12,34,34,0,NA,34,26,26,0,NA,26,24,24,0,NA,24,14,14,0,NA,14,10,10,0,NA,10,0,0,0,NA,0,13,13,0,NA,13,254,254,0,NA,254
Baksa,'7.2.1',RTI/STI for which treatment initiated - Male,TOTAL,7,7,0,NA,7,7,7,0,NA,7,5,5,0,NA,5,4,4,0,NA,4,2,2,0,NA,2,2,2,0,NA,2,12,12,0,NA,12,11,11,0,NA,11,1,1,0,NA,1,3,3,0,NA,3,0,0,0,NA,0,1,1,0,NA,1,55,55,0,NA,55
Baksa,'7.2.2',RTI/STI for which treatment initiated -Female,TOTAL,32,32,0,NA,32,31,31,0,NA,31,31,31,0,NA,31,26,26,0,NA,26,12,12,0,NA,12,33,33,0,NA,33,26,26,0,NA,26,24,24,0,NA,24,14,14,0,NA,14,9,9,0,NA,9,0,0,0,NA,0,13,13,0,NA,13,251,251,0,NA,251
Baksa,'8.1.1',Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,13,13,0,NA,13,0,0,0,NA,0,0,0,0,NA,0,29,29,0,NA,29,17,17,0,NA,17,0,0,0,NA,0,16,16,0,NA,16,75,75,0,NA,75
Baksa,'8.2.1',Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,0,0,0,NA,0,0,0,0,NA,0,61,61,0,NA,61,68,68,0,NA,68,0,0,0,NA,0,104,104,0,NA,104,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,123,123,0,NA,123,34,34,0,NA,34,390,390,0,NA,390
Baksa,'8.2.2',Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
Baksa,'8.2.3',Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,0,0,0,NA,0,2,2,0,NA,2,6,6,0,NA,6,0,0,0,NA,0,0,0,0,NA,0,3,3,0,NA,3,4,4,0,NA,4,1,1,0,NA,1,3,3,0,NA,3,4,4,0,NA,4,0,0,0,NA,0,5,5,0,NA,5,28,28,0,NA,28
Baksa,'8.2.4',Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,6,6,0,NA,6,6,6,0,NA,6
Baksa,'8.3',Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,80,80,0,NA,80,94,94,0,NA,94,87,85,2,NA,87,717,717,0,NA,717,183,178,5,NA,183,175,170,5,NA,175,49,48,1,NA,49,66,65,1,NA,66,46,46,0,NA,46,45,45,0,NA,45,57,57,0,NA,57,41,41,0,NA,41,1640,1626,14,NA,1640
Baksa,'8.4',Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,105,105,0,NA,105,86,86,0,NA,86,76,76,0,NA,76,180,180,0,NA,180,183,183,0,NA,183,152,152,0,NA,152,200,200,0,NA,200,229,221,8,NA,229,232,231,1,NA,232,274,274,0,NA,274,220,220,0,NA,220,227,227,0,NA,227,2164,2155,9,NA,2164
