temperature,ph,turbidity,tds,rainfall,humidity,risk_level,is_synthetic,source
38.06,8.3,7.92,331.24,16.51,71.46,MEDIUM,True,synthetic:who_cdc_rules
24.87,5.55,6.16,399.2,6.36,52.84,MEDIUM,True,synthetic:who_cdc_rules
25.26,8.98,5.18,657.65,0.0,76.75,MEDIUM,True,synthetic:who_cdc_rules
39.42,5.73,10.03,568.51,28.51,74.36,HIGH,True,synthetic:who_cdc_rules
25.98,5.92,10.96,474.86,18.63,80.81,MEDIUM,True,synthetic:who_cdc_rules
33.71,6.4,0.1,817.12,0.0,86.81,HIGH,True,synthetic:who_cdc_rules
37.99,6.94,9.38,733.89,0.0,35.68,HIGH,True,synthetic:who_cdc_rules
24.75,6.19,16.83,357.54,28.28,50.62,MEDIUM,True,synthetic:who_cdc_rules
34.54,6.05,4.94,272.4,0.0,31.01,MEDIUM,True,synthetic:who_cdc_rules
37.16,7.61,4.64,50.0,40.73,83.74,HIGH,True,synthetic:who_cdc_rules
27.36,8.1,11.57,293.39,0.0,73.59,MEDIUM,True,synthetic:who_cdc_rules
18.91,7.27,7.36,644.87,0.0,73.29,MEDIUM,True,synthetic:who_cdc_rules
23.28,8.63,18.19,420.25,0.0,79.94,MEDIUM,True,synthetic:who_cdc_rules
20.52,8.75,3.64,249.38,46.49,40.6,MEDIUM,True,synthetic:who_cdc_rules
29.91,7.32,7.61,475.74,15.42,59.68,LOW,True,synthetic:who_cdc_rules
35.11,8.71,5.69,264.67,0.0,89.44,HIGH,True,synthetic:who_cdc_rules
20.87,5.51,3.61,300.22,1.59,30.76,MEDIUM,True,synthetic:who_cdc_rules
36.53,7.92,10.0,301.61,54.1,47.51,MEDIUM,True,synthetic:who_cdc_rules
19.42,8.37,5.68,414.67,13.86,59.24,LOW,True,synthetic:who_cdc_rules
27.21,8.74,10.15,434.4,0.0,83.98,MEDIUM,True,synthetic:who_cdc_rules
28.19,8.4,10.98,87.99,0.0,71.61,MEDIUM,True,synthetic:who_cdc_rules
25.76,8.0,14.7,104.52,24.26,92.39,LOW,True,synthetic:who_cdc_rules
31.29,5.98,6.42,721.27,29.1,79.58,MEDIUM,True,synthetic:who_cdc_rules
26.78,6.5,0.1,778.88,14.38,48.13,MEDIUM,True,synthetic:who_cdc_rules
31.56,7.57,0.1,518.14,24.0,87.61,MEDIUM,True,synthetic:who_cdc_rules
29.42,8.44,0.1,238.61,3.26,65.78,LOW,True,synthetic:who_cdc_rules
27.52,6.6,13.96,333.91,10.61,54.4,MEDIUM,True,synthetic:who_cdc_rules
39.46,5.94,1.49,368.08,25.47,92.9,HIGH,True,synthetic:who_cdc_rules
39.61,8.39,0.47,480.11,44.79,74.71,MEDIUM,True,synthetic:who_cdc_rules
33.82,6.58,6.44,690.2,0.0,88.11,MEDIUM,True,synthetic:who_cdc_rules
31.23,7.44,14.56,288.89,20.85,57.28,MEDIUM,True,synthetic:who_cdc_rules
36.06,7.13,4.39,642.46,6.39,71.59,MEDIUM,True,synthetic:who_cdc_rules
27.77,6.32,5.12,504.5,16.44,86.68,MEDIUM,True,synthetic:who_cdc_rules
31.55,6.68,0.1,335.74,18.1,33.2,LOW,True,synthetic:who_cdc_rules
29.27,6.15,10.99,323.96,59.38,71.49,HIGH,True,synthetic:who_cdc_rules
38.39,7.11,14.93,50.0,22.7,80.6,HIGH,True,synthetic:who_cdc_rules
18.27,6.87,0.1,524.24,25.85,31.26,LOW,True,synthetic:who_cdc_rules
31.39,7.51,16.39,80.47,5.33,71.59,MEDIUM,True,synthetic:who_cdc_rules
24.79,8.35,8.34,598.89,34.1,36.16,LOW,True,synthetic:who_cdc_rules
30.16,7.34,0.76,471.42,15.88,56.24,LOW,True,synthetic:who_cdc_rules
26.0,5.73,3.68,364.95,7.69,41.81,MEDIUM,True,synthetic:who_cdc_rules
24.66,7.14,1.86,174.76,21.53,76.22,LOW,True,synthetic:who_cdc_rules
18.9,6.26,3.12,291.03,0.0,64.68,MEDIUM,True,synthetic:who_cdc_rules
38.05,7.85,4.55,325.25,13.21,82.77,MEDIUM,True,synthetic:who_cdc_rules
32.67,6.79,11.33,585.53,0.0,44.0,MEDIUM,True,synthetic:who_cdc_rules
39.98,6.19,9.36,225.93,0.0,63.13,MEDIUM,True,synthetic:who_cdc_rules
32.12,8.38,6.91,552.75,0.0,66.7,LOW,True,synthetic:who_cdc_rules
30.29,7.85,5.79,275.27,0.02,71.86,LOW,True,synthetic:who_cdc_rules
30.14,8.04,9.88,457.58,0.0,71.58,LOW,True,synthetic:who_cdc_rules
20.28,7.9,4.84,289.82,18.79,76.57,LOW,True,synthetic:who_cdc_rules
31.67,7.19,4.36,88.93,37.89,64.48,LOW,True,synthetic:who_cdc_rules
20.04,7.31,7.55,437.97,5.53,88.3,LOW,True,synthetic:who_cdc_rules
28.29,8.4,8.38,356.65,36.98,39.44,LOW,True,synthetic:who_cdc_rules
39.88,8.89,1.17,469.57,21.58,64.12,MEDIUM,True,synthetic:who_cdc_rules
36.31,8.01,3.09,298.37,9.36,92.17,MEDIUM,True,synthetic:who_cdc_rules
21.46,7.26,3.54,529.83,39.74,69.73,LOW,True,synthetic:who_cdc_rules
33.15,6.12,6.81,236.41,6.82,47.87,MEDIUM,True,synthetic:who_cdc_rules
25.32,7.5,3.4,365.35,48.22,92.44,MEDIUM,True,synthetic:who_cdc_rules
18.48,5.83,9.14,531.77,27.98,31.35,MEDIUM,True,synthetic:who_cdc_rules
26.2,8.5,9.01,204.78,0.0,55.33,LOW,True,synthetic:who_cdc_rules
22.2,7.31,7.02,282.46,39.35,40.47,LOW,True,synthetic:who_cdc_rules
34.9,5.66,0.1,416.87,25.82,48.09,MEDIUM,True,synthetic:who_cdc_rules
24.64,8.39,2.65,125.97,28.38,52.73,LOW,True,synthetic:who_cdc_rules
26.85,5.63,4.55,183.26,14.06,38.1,MEDIUM,True,synthetic:who_cdc_rules
22.99,5.56,9.22,521.22,0.0,66.77,MEDIUM,True,synthetic:who_cdc_rules
31.14,5.69,12.24,384.72,8.42,70.66,MEDIUM,True,synthetic:who_cdc_rules
31.12,5.53,7.1,800.38,22.01,69.15,MEDIUM,True,synthetic:who_cdc_rules
33.39,8.34,10.3,448.93,15.63,44.14,MEDIUM,True,synthetic:who_cdc_rules
32.58,6.55,0.77,399.47,36.76,41.45,LOW,True,synthetic:who_cdc_rules
38.86,6.85,3.04,83.15,8.7,47.16,MEDIUM,True,synthetic:who_cdc_rules
24.11,8.44,4.97,245.64,31.66,47.43,LOW,True,synthetic:who_cdc_rules
23.35,7.39,4.1,144.1,0.0,75.02,LOW,True,synthetic:who_cdc_rules
22.34,6.9,6.86,325.23,21.21,50.31,LOW,True,synthetic:who_cdc_rules
32.14,8.58,16.59,306.55,23.87,63.45,LOW,True,synthetic:who_cdc_rules
34.63,6.56,12.05,410.98,0.0,82.86,MEDIUM,True,synthetic:who_cdc_rules
29.21,8.74,10.11,215.4,8.22,40.21,MEDIUM,True,synthetic:who_cdc_rules
24.18,6.94,8.84,292.53,38.76,32.2,LOW,True,synthetic:who_cdc_rules
29.06,7.13,0.1,201.95,15.05,74.94,LOW,True,synthetic:who_cdc_rules
32.62,6.65,4.36,700.95,40.68,52.13,MEDIUM,True,synthetic:who_cdc_rules
30.43,6.6,6.73,140.2,24.84,83.57,MEDIUM,True,synthetic:who_cdc_rules
26.22,8.58,10.03,478.23,39.43,94.89,MEDIUM,True,synthetic:who_cdc_rules
21.12,8.1,1.17,510.71,7.58,45.02,LOW,True,synthetic:who_cdc_rules
28.28,7.3,1.04,533.92,13.3,48.57,LOW,True,synthetic:who_cdc_rules
37.07,6.1,13.64,65.88,7.61,68.37,HIGH,True,synthetic:who_cdc_rules
27.14,6.24,2.97,485.17,21.45,34.12,MEDIUM,True,synthetic:who_cdc_rules
35.68,7.06,4.57,677.36,9.95,71.36,MEDIUM,True,synthetic:who_cdc_rules
31.11,5.55,8.15,379.84,11.05,77.71,MEDIUM,True,synthetic:who_cdc_rules
27.92,7.68,1.42,502.49,40.68,68.8,MEDIUM,True,synthetic:who_cdc_rules
25.15,7.1,6.25,584.25,17.19,90.83,LOW,True,synthetic:who_cdc_rules
36.09,6.11,4.09,98.51,17.68,34.4,MEDIUM,True,synthetic:who_cdc_rules
32.13,5.73,7.22,404.1,46.83,39.94,MEDIUM,True,synthetic:who_cdc_rules
31.45,8.67,4.01,704.92,3.6,36.54,MEDIUM,True,synthetic:who_cdc_rules
37.86,6.88,7.47,616.84,0.0,72.12,MEDIUM,True,synthetic:who_cdc_rules
34.39,7.61,6.12,194.76,12.71,64.65,LOW,True,synthetic:who_cdc_rules
39.63,6.41,5.02,697.02,1.42,59.64,HIGH,True,synthetic:who_cdc_rules
39.86,8.74,2.1,493.02,18.97,85.7,HIGH,True,synthetic:who_cdc_rules
38.85,8.32,7.75,403.63,0.0,67.12,MEDIUM,True,synthetic:who_cdc_rules
32.64,6.05,7.0,557.5,12.61,32.91,MEDIUM,True,synthetic:who_cdc_rules
23.03,7.75,9.85,663.49,22.69,46.51,MEDIUM,True,synthetic:who_cdc_rules
21.03,8.36,5.07,228.55,68.19,43.86,MEDIUM,True,synthetic:who_cdc_rules
22.21,8.03,4.87,499.63,4.26,73.71,LOW,True,synthetic:who_cdc_rules
30.9,8.86,14.44,560.14,2.4,60.67,MEDIUM,True,synthetic:who_cdc_rules
21.34,8.69,9.94,638.4,16.8,75.19,MEDIUM,True,synthetic:who_cdc_rules
23.13,8.42,9.74,595.98,39.78,61.67,LOW,True,synthetic:who_cdc_rules
21.19,7.51,10.46,374.67,0.0,87.89,MEDIUM,True,synthetic:who_cdc_rules
27.57,8.63,13.3,419.61,0.0,37.89,MEDIUM,True,synthetic:who_cdc_rules
26.01,8.23,7.6,458.7,21.25,51.52,LOW,True,synthetic:who_cdc_rules
39.35,8.72,7.18,491.86,49.15,89.55,HIGH,True,synthetic:who_cdc_rules
22.24,8.93,12.54,442.31,7.04,30.77,LOW,True,synthetic:who_cdc_rules
36.92,5.9,14.69,670.04,22.29,89.14,HIGH,True,synthetic:who_cdc_rules
23.82,7.86,10.66,222.37,6.39,36.8,MEDIUM,True,synthetic:who_cdc_rules
28.05,8.76,9.02,277.19,53.07,37.01,MEDIUM,True,synthetic:who_cdc_rules
23.3,8.2,10.42,149.56,29.07,63.56,MEDIUM,True,synthetic:who_cdc_rules
29.33,8.75,3.2,774.78,0.0,57.4,HIGH,True,synthetic:who_cdc_rules
35.26,7.74,0.1,57.85,0.0,75.56,MEDIUM,True,synthetic:who_cdc_rules
26.77,7.39,7.33,326.29,22.59,77.23,LOW,True,synthetic:who_cdc_rules
20.36,7.42,3.17,428.03,0.0,52.21,LOW,True,synthetic:who_cdc_rules
35.45,6.39,1.33,429.2,14.02,38.04,MEDIUM,True,synthetic:who_cdc_rules
26.58,7.3,0.63,373.94,0.0,49.08,LOW,True,synthetic:who_cdc_rules
24.55,8.27,8.75,339.38,29.59,60.32,LOW,True,synthetic:who_cdc_rules
27.99,7.06,4.6,104.69,20.61,43.47,LOW,True,synthetic:who_cdc_rules
20.83,8.29,6.34,303.76,3.98,38.14,LOW,True,synthetic:who_cdc_rules
31.55,6.59,8.04,214.83,28.05,60.88,LOW,True,synthetic:who_cdc_rules
33.16,7.29,1.71,514.88,7.82,60.03,LOW,True,synthetic:who_cdc_rules
30.61,8.02,0.1,408.69,44.96,88.13,MEDIUM,True,synthetic:who_cdc_rules
31.6,7.76,4.66,449.54,0.0,52.52,LOW,True,synthetic:who_cdc_rules
19.59,8.09,12.78,596.49,0.0,86.16,MEDIUM,True,synthetic:who_cdc_rules
28.81,8.33,0.1,356.83,15.04,87.4,MEDIUM,True,synthetic:who_cdc_rules
29.68,7.51,5.09,387.63,0.0,36.67,LOW,True,synthetic:who_cdc_rules
22.64,6.85,12.32,387.99,24.55,90.74,MEDIUM,True,synthetic:who_cdc_rules
22.89,7.57,3.41,530.93,41.02,79.07,MEDIUM,True,synthetic:who_cdc_rules
20.66,6.1,0.1,55.28,44.44,31.37,MEDIUM,True,synthetic:who_cdc_rules
35.22,6.66,0.1,50.0,39.33,67.24,MEDIUM,True,synthetic:who_cdc_rules
37.07,6.52,4.51,357.25,1.54,33.34,MEDIUM,True,synthetic:who_cdc_rules
34.24,5.99,6.68,611.5,22.24,48.72,MEDIUM,True,synthetic:who_cdc_rules
28.44,8.89,5.58,132.22,0.0,82.39,MEDIUM,True,synthetic:who_cdc_rules
24.46,7.19,12.66,270.26,2.16,54.45,MEDIUM,True,synthetic:who_cdc_rules
22.81,7.18,9.36,178.77,25.99,88.92,LOW,True,synthetic:who_cdc_rules
29.72,6.44,11.23,656.81,27.42,86.63,HIGH,True,synthetic:who_cdc_rules
29.45,8.07,1.61,445.07,0.0,82.47,MEDIUM,True,synthetic:who_cdc_rules
29.17,7.84,9.29,282.48,10.55,59.52,LOW,True,synthetic:who_cdc_rules
39.94,8.28,4.37,373.75,0.0,58.77,MEDIUM,True,synthetic:who_cdc_rules
31.04,6.96,4.95,573.04,5.97,49.31,LOW,True,synthetic:who_cdc_rules
36.01,7.69,0.73,677.18,32.93,92.55,HIGH,True,synthetic:who_cdc_rules
19.39,7.09,12.58,341.25,6.3,47.96,MEDIUM,True,synthetic:who_cdc_rules
39.91,7.41,6.12,554.04,22.89,85.75,HIGH,True,synthetic:who_cdc_rules
25.16,8.46,0.1,408.61,0.0,35.99,LOW,True,synthetic:who_cdc_rules
37.66,7.76,7.03,487.82,5.48,93.37,MEDIUM,True,synthetic:who_cdc_rules
26.28,8.81,1.18,532.11,0.0,57.86,MEDIUM,True,synthetic:who_cdc_rules
37.58,7.25,9.16,234.43,19.06,81.44,MEDIUM,True,synthetic:who_cdc_rules
21.7,7.11,0.1,389.14,21.15,49.71,LOW,True,synthetic:who_cdc_rules
26.96,6.21,5.63,130.21,16.97,52.54,MEDIUM,True,synthetic:who_cdc_rules
34.7,8.94,6.76,345.8,13.91,67.33,MEDIUM,True,synthetic:who_cdc_rules
26.74,8.82,2.95,417.05,21.75,86.66,MEDIUM,True,synthetic:who_cdc_rules
34.74,7.76,4.89,528.51,0.0,45.46,LOW,True,synthetic:who_cdc_rules
30.72,6.59,7.47,50.0,1.56,92.06,MEDIUM,True,synthetic:who_cdc_rules
24.01,5.7,9.52,577.37,47.63,77.67,LOW,True,synthetic:who_cdc_rules
23.45,8.82,0.62,301.52,27.27,60.02,MEDIUM,True,synthetic:who_cdc_rules
18.47,7.62,3.65,594.17,13.82,91.25,LOW,True,synthetic:who_cdc_rules
26.99,7.01,3.15,522.81,15.08,61.39,LOW,True,synthetic:who_cdc_rules
30.75,7.3,5.23,295.77,10.11,31.0,LOW,True,synthetic:who_cdc_rules
18.49,8.81,7.97,594.61,21.34,58.21,MEDIUM,True,synthetic:who_cdc_rules
26.21,5.81,0.74,479.74,1.03,50.14,MEDIUM,True,synthetic:who_cdc_rules
21.71,7.5,6.94,660.7,10.64,77.03,MEDIUM,True,synthetic:who_cdc_rules
37.7,6.89,5.8,461.92,40.61,57.09,MEDIUM,True,synthetic:who_cdc_rules
26.76,7.6,8.93,282.18,0.0,33.97,LOW,True,synthetic:who_cdc_rules
19.29,7.14,4.65,360.41,38.18,79.05,LOW,True,synthetic:who_cdc_rules
28.06,7.55,11.22,157.77,9.3,68.52,LOW,True,synthetic:who_cdc_rules
35.16,8.51,0.1,167.03,14.64,45.44,MEDIUM,True,synthetic:who_cdc_rules
27.58,7.3,2.33,197.94,45.78,33.0,MEDIUM,True,synthetic:who_cdc_rules
24.56,5.78,8.1,523.69,25.29,47.35,MEDIUM,True,synthetic:who_cdc_rules
39.15,7.71,11.26,64.15,41.07,42.9,HIGH,True,synthetic:who_cdc_rules
35.41,5.8,7.51,296.6,0.0,33.86,MEDIUM,True,synthetic:who_cdc_rules
21.97,7.21,13.04,547.05,18.74,81.59,LOW,True,synthetic:who_cdc_rules
19.17,5.81,5.87,446.4,30.01,63.15,MEDIUM,True,synthetic:who_cdc_rules
35.56,6.05,7.0,272.92,0.0,78.08,MEDIUM,True,synthetic:who_cdc_rules
24.14,5.81,7.97,731.0,6.56,54.88,MEDIUM,True,synthetic:who_cdc_rules
35.58,8.99,12.5,412.12,20.73,42.64,HIGH,True,synthetic:who_cdc_rules
36.02,6.36,8.94,358.52,34.83,78.8,MEDIUM,True,synthetic:who_cdc_rules
34.76,6.46,2.72,50.0,0.0,80.37,MEDIUM,True,synthetic:who_cdc_rules
31.18,7.5,0.1,89.71,21.23,69.29,LOW,True,synthetic:who_cdc_rules
23.11,7.91,6.72,438.88,16.58,67.94,LOW,True,synthetic:who_cdc_rules
23.28,7.71,10.28,227.85,17.96,53.65,MEDIUM,True,synthetic:who_cdc_rules
39.9,7.4,18.87,415.25,57.6,86.02,HIGH,True,synthetic:who_cdc_rules
36.95,6.16,6.85,476.03,14.11,93.27,HIGH,True,synthetic:who_cdc_rules
23.88,5.67,6.66,619.14,28.29,74.88,MEDIUM,True,synthetic:who_cdc_rules
36.98,7.99,2.39,514.18,24.57,75.51,MEDIUM,True,synthetic:who_cdc_rules
26.02,8.41,0.1,210.0,5.09,34.27,LOW,True,synthetic:who_cdc_rules
29.75,7.66,3.92,460.15,8.54,44.29,LOW,True,synthetic:who_cdc_rules
29.38,5.86,0.1,51.91,0.0,69.46,MEDIUM,True,synthetic:who_cdc_rules
33.18,5.77,6.96,192.28,50.18,60.33,MEDIUM,True,synthetic:who_cdc_rules
23.22,8.32,4.33,462.22,2.32,36.67,LOW,True,synthetic:who_cdc_rules
25.42,6.93,6.08,269.19,46.84,39.83,MEDIUM,True,synthetic:who_cdc_rules
22.53,7.28,7.16,540.94,0.0,58.92,LOW,True,synthetic:who_cdc_rules
20.35,5.94,11.31,463.62,11.64,62.52,MEDIUM,True,synthetic:who_cdc_rules
22.59,6.78,4.21,358.46,20.57,31.51,LOW,True,synthetic:who_cdc_rules
26.74,6.37,5.23,578.26,0.0,61.93,MEDIUM,True,synthetic:who_cdc_rules
25.12,6.29,0.8,584.99,0.0,81.71,MEDIUM,True,synthetic:who_cdc_rules
30.21,7.04,8.91,268.23,42.7,34.07,LOW,True,synthetic:who_cdc_rules
31.56,7.34,3.65,137.26,0.0,48.74,LOW,True,synthetic:who_cdc_rules
36.24,6.13,2.5,674.38,13.98,39.37,HIGH,True,synthetic:who_cdc_rules
29.44,8.69,4.62,53.58,15.3,53.79,MEDIUM,True,synthetic:who_cdc_rules
35.79,8.61,0.1,320.3,18.61,92.94,HIGH,True,synthetic:who_cdc_rules
28.3,8.66,6.32,144.98,0.61,91.72,MEDIUM,True,synthetic:who_cdc_rules
22.63,6.48,2.39,69.64,27.69,71.82,MEDIUM,True,synthetic:who_cdc_rules
31.4,6.64,5.68,220.02,16.14,37.6,LOW,True,synthetic:who_cdc_rules
36.98,6.48,0.1,230.79,0.0,45.38,MEDIUM,True,synthetic:who_cdc_rules
35.17,8.1,7.95,967.87,15.76,49.34,MEDIUM,True,synthetic:who_cdc_rules
20.58,6.85,11.29,746.59,0.0,61.16,MEDIUM,True,synthetic:who_cdc_rules
32.08,5.76,1.75,50.0,26.15,79.81,MEDIUM,True,synthetic:who_cdc_rules
30.88,7.75,9.68,613.28,43.14,60.28,MEDIUM,True,synthetic:who_cdc_rules
28.32,7.42,3.51,360.7,57.9,67.23,MEDIUM,True,synthetic:who_cdc_rules
35.24,6.38,5.3,662.05,15.6,66.25,HIGH,True,synthetic:who_cdc_rules
19.84,6.8,3.66,305.7,12.54,84.57,LOW,True,synthetic:who_cdc_rules
33.82,7.73,6.05,277.04,42.9,71.78,MEDIUM,True,synthetic:who_cdc_rules
30.03,8.19,4.38,601.4,32.79,41.99,MEDIUM,True,synthetic:who_cdc_rules
34.21,6.63,5.87,744.89,21.55,42.42,MEDIUM,True,synthetic:who_cdc_rules
21.73,5.71,7.01,229.05,7.66,91.11,MEDIUM,True,synthetic:who_cdc_rules
31.82,5.61,12.47,402.46,51.61,92.0,HIGH,True,synthetic:who_cdc_rules
27.24,8.76,0.1,508.1,22.9,94.79,MEDIUM,True,synthetic:who_cdc_rules
32.17,5.61,0.1,352.63,57.73,46.8,MEDIUM,True,synthetic:who_cdc_rules
30.84,8.51,8.11,630.66,19.44,68.49,HIGH,True,synthetic:who_cdc_rules
25.05,5.82,8.48,720.49,42.88,60.5,HIGH,True,synthetic:who_cdc_rules
32.6,8.82,4.97,763.83,18.64,66.12,MEDIUM,True,synthetic:who_cdc_rules
39.39,8.59,14.17,243.48,0.0,67.83,HIGH,True,synthetic:who_cdc_rules
30.91,7.64,5.38,115.55,62.74,52.95,MEDIUM,True,synthetic:who_cdc_rules
23.97,8.07,0.1,273.52,32.81,52.44,LOW,True,synthetic:who_cdc_rules
21.12,7.51,4.52,420.96,18.27,47.74,LOW,True,synthetic:who_cdc_rules
31.64,6.65,4.34,580.14,25.76,57.56,LOW,True,synthetic:who_cdc_rules
35.2,7.15,12.57,518.68,44.65,87.11,HIGH,True,synthetic:who_cdc_rules
30.59,5.88,0.1,475.08,0.0,52.18,MEDIUM,True,synthetic:who_cdc_rules
25.26,8.18,4.16,527.44,19.25,74.48,LOW,True,synthetic:who_cdc_rules
30.47,7.71,8.17,359.84,37.47,69.11,LOW,True,synthetic:who_cdc_rules
35.5,8.44,3.05,676.75,14.97,32.71,MEDIUM,True,synthetic:who_cdc_rules
36.59,5.64,0.1,50.0,34.76,92.03,HIGH,True,synthetic:who_cdc_rules
20.78,6.3,1.15,594.11,21.98,51.26,MEDIUM,True,synthetic:who_cdc_rules
19.12,8.47,11.97,433.74,6.83,31.65,MEDIUM,True,synthetic:who_cdc_rules
35.17,5.64,4.9,278.24,16.46,47.95,MEDIUM,True,synthetic:who_cdc_rules
31.09,5.59,2.72,511.07,19.49,45.39,MEDIUM,True,synthetic:who_cdc_rules
29.48,6.39,0.24,545.52,34.47,32.47,MEDIUM,True,synthetic:who_cdc_rules
19.5,7.55,0.1,193.86,0.0,40.7,LOW,True,synthetic:who_cdc_rules
33.58,8.08,15.18,475.45,34.37,89.98,MEDIUM,True,synthetic:who_cdc_rules
38.23,7.17,15.0,221.61,24.65,37.15,MEDIUM,True,synthetic:who_cdc_rules
32.13,8.91,13.06,267.51,29.01,75.28,MEDIUM,True,synthetic:who_cdc_rules
28.87,5.77,2.95,390.11,0.0,33.54,MEDIUM,True,synthetic:who_cdc_rules
28.96,6.8,5.19,481.73,0.0,87.33,MEDIUM,True,synthetic:who_cdc_rules
34.29,8.45,1.99,556.09,5.21,68.19,LOW,True,synthetic:who_cdc_rules
38.24,7.33,0.1,439.82,10.58,66.98,MEDIUM,True,synthetic:who_cdc_rules
38.39,7.6,7.16,189.18,32.7,90.8,MEDIUM,True,synthetic:who_cdc_rules
35.92,5.6,8.51,532.27,46.65,92.59,HIGH,True,synthetic:who_cdc_rules
21.25,8.82,9.45,466.61,18.79,59.77,MEDIUM,True,synthetic:who_cdc_rules
24.15,8.48,0.1,349.54,30.35,52.2,LOW,True,synthetic:who_cdc_rules
28.75,8.89,0.1,483.67,7.22,69.41,MEDIUM,True,synthetic:who_cdc_rules
36.51,8.93,7.41,699.9,55.86,91.33,HIGH,True,synthetic:who_cdc_rules
18.66,8.67,0.1,50.0,38.5,74.7,MEDIUM,True,synthetic:who_cdc_rules
31.56,7.24,11.02,256.59,26.98,39.25,LOW,True,synthetic:who_cdc_rules
22.48,8.35,3.0,208.94,20.03,57.38,LOW,True,synthetic:who_cdc_rules
37.22,8.51,0.86,50.0,21.7,86.72,HIGH,True,synthetic:who_cdc_rules
38.5,8.73,3.02,575.5,28.85,80.04,HIGH,True,synthetic:who_cdc_rules
19.79,7.21,6.19,935.98,2.47,84.07,MEDIUM,True,synthetic:who_cdc_rules
33.49,8.71,10.25,651.94,14.33,51.31,HIGH,True,synthetic:who_cdc_rules
27.14,5.72,5.44,50.0,20.29,31.66,MEDIUM,True,synthetic:who_cdc_rules
27.3,7.13,8.11,522.82,54.24,79.14,MEDIUM,True,synthetic:who_cdc_rules
23.31,6.09,4.92,222.16,25.87,45.76,MEDIUM,True,synthetic:who_cdc_rules
37.46,7.21,2.88,54.36,13.58,89.45,MEDIUM,True,synthetic:who_cdc_rules
